Code,Description,Solution,TrainingText,Severity,Category,Steps
P1B30,Coolant flow rate insufficient,Check coolant pump and hoses,"coolant flow low, not enough coolant flowing, coolant restriction, coolant flow rate fault, blocked coolant hose, coolant circuit restricted, coolant not circulating properly, low coolant flow alarm, coolant pump weak flow, coolant passage blocked, cooling system flow restriction, insufficient cooling circulation",High,Thermal,Check coolant level|Inspect hoses for kinks or blockage|Verify coolant pump operation|Flush cooling system|Check for air locks in coolant circuit|Replace coolant pump if flow still low
P1B35,Coolant leak detected,Inspect cooling system for leaks,"coolant leaking, coolant level dropping, coolant puddle under car, cooling system leak, coolant loss, low coolant warning, coolant dripping, cooling hose leak, radiator leak, coolant reservoir empty, coolant seeping, cooling system pressure drop",High,Thermal,Visually inspect all coolant hoses and connections|Pressure test cooling system|Check radiator and heat exchanger for leaks|Inspect coolant pump seal|Repair leak and refill coolant|Bleed air from cooling system after repair
P1B40,Cabin heater core fault,Check heater core and coolant valve,"cabin heater not working, no heat in car, heater fault, cabin heating failure, heater core blocked, heat pump not producing heat, cabin too cold heater broken, heater valve stuck, hvac no heat, car heater broken, heating system fault, passenger compartment cold",Medium,Thermal,Check heater core coolant flow|Verify heater control valve operation|Inspect heater core for blockage|Check cabin temperature sensor|Verify heat pump operation|Flush heater core if blocked
P0E10,Electric motor coolant flow fault,Check motor cooling circuit,"motor coolant not flowing, motor cooling system fault, motor coolant pump error, motor cooling circuit blocked, motor coolant leak, motor overheating coolant issue, motor cooling hose kinked, motor water jacket fault, motor cooling insufficient, motor thermal management error, motor coolant temperature rising, motor cooling loop failure",High,Thermal,Check motor coolant level|Verify motor coolant pump operation|Inspect motor cooling hoses|Check for motor coolant leaks|Flush motor cooling circuit|Replace motor thermostat if stuck
P0E15,Inverter coolant flow fault,Check inverter cooling circuit,"inverter coolant not flowing, inverter cooling blocked, inverter cooling pump fault, inverter coolant circuit restricted, inverter overheating coolant, inverter cooling hose problem, inverter water cooling fault, inverter chiller fault, inverter cooling insufficient, inverter coolant leak, inverter thermal warning coolant, inverter cooling loop error",High,Thermal,Check inverter coolant level|Verify inverter cooling pump|Inspect inverter cooling lines|Check for coolant leaks at inverter|Flush inverter cooling circuit|Ensure proper coolant flow rate to inverter
P0560,Regenerative braking system fault,Inspect regen system and motor controller,"regen braking not working, regenerative braking fault, energy recovery failure, regen disabled, brake energy recovery error, regenerative system malfunction, regen brake fault indicator, brake regen stopped working, energy recuperation fault, regen not engaging, brake regeneration error, coasting not recovering energy",High,Braking,Check motor controller regen settings|Verify battery ability to accept charge|Inspect brake system communication|Check regen brake switch|Test motor in generator mode|Update motor controller software for regen
P0565,Regenerative braking reduced,Check battery SOC and motor temperature,"regen reduced, weak regenerative braking, regen less than normal, regenerative braking low, reduced energy recovery, regen power limited, regenerative braking weak, less regen than usual, regen derating, regenerative braking derated, energy recovery limited, coasting recovery reduced",Medium,Braking,Check battery state of charge (high SOC limits regen)|Check battery temperature|Verify motor temperature|Check regen settings in vehicle menu|Ensure brake system is functioning normally|Wait for conditions to allow full regen
P0570,Electronic brake booster fault,Check brake booster motor and sensor,"brake booster error, ibooster fault, electric brake booster failure, brake pedal hard, brake assist not working, electronic brake booster malfunction, power brake failure, brake booster motor error, brake effort increased, brake pedal feels different, brake booster warning, power brake assist lost",Critical,Braking,Check brake booster motor operation|Inspect brake booster sensor|Verify brake booster power supply|Test brake pedal travel sensor|Check brake fluid level|Replace brake booster if motor failed
P0575,Brake pedal position sensor fault,Check and recalibrate brake sensor,"brake pedal sensor error, brake position sensor fault, brake input not reading, brake sensor malfunction, brake pedal sensor failure, brake travel sensor error, brake sensor calibration lost, brake pedal not sensing correctly, brake input sensor circuit, brake sensor signal missing, brake pedal encoder fault, brake sensor out of range",High,Braking,Calibrate brake pedal sensor|Check sensor connector|Measure sensor output through pedal range|Inspect sensor wiring|Replace brake pedal sensor|Recalibrate brake system after replacement
P0580,ABS wheel speed sensor fault,Check and replace ABS sensor,"abs sensor error, wheel speed sensor fault, abs sensor not reading, wheel speed missing, abs sensor circuit fault, speed sensor broken, abs ring damaged, wheel sensor malfunction, tone ring cracked, abs reluctor fault, wheel pulse sensor error, abs sensor gap",Medium,Braking,Check ABS sensor wiring|Measure sensor resistance|Inspect tone ring for damage|Check sensor air gap|Clean sensor face|Replace ABS sensor if faulty
P0585,ABS hydraulic pump motor fault,Check ABS pump assembly,"abs pump not working, abs motor failure, hydraulic pump abs fault, abs pump seized, brake pump failure, abs motor burned out, abs hydraulic unit fault, brake pump motor error, abs pump pressure low, abs modulator fault, brake hydraulic pump error, abs pump motor noisy",High,Braking,Check ABS pump fuse and relay|Test pump motor voltage|Listen for pump operation during ABS event|Check brake fluid level|Inspect ABS hydraulic lines|Replace ABS pump motor assembly
P0590,Electronic parking brake fault,Check parking brake actuator,"parking brake won't engage, electric parking brake error, parking brake stuck, epb fault, auto hold not working, electronic parking brake failure, parking brake won't release, epb motor error, parking brake actuator fault, electric handbrake problem, epb warning light, parking brake cable stuck",Medium,Braking,Try manual EPB release procedure|Check EPB actuator motor|Inspect EPB cables|Verify EPB switch operation|Check EPB control module|Replace EPB actuator if motor failed
P0595,Brake pad wear sensor fault,Check brake pad sensor and pads,"brake pad sensor error, brake wear indicator fault, brake pad worn, brake sensor circuit open, front brakes worn, rear brakes worn, brake pad thickness low, brake wear warning, brake pad sensor broken, time to change brakes, brake lining thin, brake pads need replacement",Low,Braking,Check brake pad thickness|Inspect wear sensor wire|Measure brake pad remaining life|Replace brake pads if worn|Replace wear sensor with new pads|Reset brake pad service indicator
P0600,Electric power steering motor fault,Check EPS motor and controller,"power steering not working, steering heavy, steering assist lost, eps motor fault, electric steering failure, power steering motor dead, steering effort increased, steering motor error, eps motor overheating, electric steering motor problem, steering suddenly heavy, eps motor noise",High,Steering,Check EPS motor connector|Measure EPS motor resistance|Inspect EPS motor for overheating|Check EPS controller|Verify steering column torque sensor|Replace EPS motor if faulty
P0605,Steering angle sensor fault,Recalibrate or replace steering sensor,"steering angle sensor error, sas fault, steering sensor calibration lost, steering position sensor error, sas not centered, steering angle reading wrong, steering sensor malfunction, sas circuit fault, steering wheel position unknown, steering angle sensor circuit, sas calibration needed, steering sensor drift",Medium,Steering,Calibrate steering angle sensor|Check sensor connector|Drive straight and verify center reading|Inspect sensor clock spring|Replace steering angle sensor|Recalibrate ADAS systems after sensor replacement
P0610,Steering rack electronic control fault,Check steering rack controller,"steering rack fault, steering control error, electric rack failure, steering rack ecu problem, steering rack motor noise, steering rack clunking, electronic rack and pinion fault, steering rack controller failure, steering rack feedback error, rack motor stuttering, steering assist variable fault, rack ecu communication error",High,Steering,Check steering rack power supply|Inspect rack motor connector|Read steering rack fault codes|Test rack motor operation|Check rack mounting|Replace steering rack assembly if internal fault
P0615,Steering torque sensor fault,Recalibrate torque sensor,"steering torque sensor error, steering feel wrong, torque sensor fault, steering assist incorrect, steering effort sensor malfunction, torque sensor reading incorrect, steering input sensor fault, torque sensor circuit error, steering wheel resistance wrong, torque measurement fault, steering sensitivity wrong, torque sensor drift",Medium,Steering,Calibrate steering torque sensor|Check torque sensor power supply|Measure sensor output at different angles|Inspect sensor wiring|Replace torque sensor|Recalibrate EPS system after replacement
P0700,HVAC blower motor fault,Check blower motor and resistor,"blower not working, fan not blowing, hvac fan dead, cabin fan motor failure, blower motor burned, air not blowing from vents, ac fan stopped, heater fan not running, blower speed stuck, blower motor noisy, cabin fan motor fault, hvac blower failure",Medium,HVAC,Check blower motor fuse|Test blower motor voltage|Inspect blower motor resistor|Check blower motor for seizure|Test blower control module|Replace blower motor
P0705,HVAC compressor fault,Check AC compressor and refrigerant,"ac not cooling, compressor fault, air conditioning failure, ac compressor not engaging, ac blowing warm, compressor motor error, ac system fault, refrigerant leak, ac not cold, air conditioning compressor dead, ac compressor noisy, ac clutch not engaging",Medium,HVAC,Check refrigerant charge level|Inspect compressor electrical connector|Test compressor clutch relay|Check AC pressure switches|Verify compressor oil level|Replace compressor if mechanically failed
P0710,HVAC heat pump system fault,Check heat pump and refrigerant circuit,"heat pump not working, heat pump fault, heat pump defrost error, heat pump efficiency low, heat pump compressor fault, heat pump refrigerant low, heat pump cycle error, heat pump frozen, cabin heat pump failure, ev heat pump problem, heat pump COP low, heat pump system error",Medium,HVAC,Check heat pump refrigerant level|Inspect heat pump compressor|Verify reversing valve operation|Check defrost cycle operation|Inspect outdoor coil for ice|Service heat pump system
P0715,Cabin temperature sensor fault,Check and replace cabin sensor,"cabin temp sensor error, wrong cabin temperature reading, climate control sensor fault, cabin thermistor fault, interior temp sensor broken, hvac temperature sensor malfunction, cabin climate sensor error, wrong temperature display cabin, interior sensor circuit fault, cabin temp reading wrong, climate sensor failed, ambient cabin sensor fault",Low,HVAC,Check sensor location in cabin|Measure sensor resistance|Verify sensor wiring|Compare with actual cabin temperature|Replace cabin temperature sensor|Recalibrate climate control
P0720,HVAC refrigerant pressure sensor fault,Check AC pressure sensors,"ac pressure sensor error, refrigerant pressure fault, ac pressure reading wrong, high side pressure sensor, low side pressure sensor, ac pressure transducer fault, ac pressure switch tripped, refrigerant pressure abnormal, ac pressure out of range, ac sensor reading high, ac pressure sensor circuit, refrigerant pressure sensor malfunction",Medium,HVAC,Check AC system pressure with gauges|Inspect pressure sensor connector|Compare sensor reading with manual gauge|Test sensor resistance|Replace pressure sensor|Check refrigerant charge after sensor replacement
P0725,HVAC auto climate control fault,Reset climate control module,"auto climate not working, climate control error, automatic hvac fault, dual zone climate fault, climate control module error, auto temperature not regulating, hvac controller fault, climate system not responding, auto ac not maintaining temp, climate control frozen, hvac module crash, auto climate keeps changing",Low,HVAC,Reset climate control module|Check all temperature sensors|Verify blend door actuator operation|Test temperature display|Check HVAC control head|Update climate control software
P0800,Forward collision warning system fault,Check camera and radar sensors,"collision warning not working, forward collision alert off, fcw fault, aebs warning, front camera fault, forward sensor blocked, collision avoidance disabled, auto braking not working, forward radar error, collision detection system fault, front sensor dirty, aeb system malfunction",High,ADAS,Clean front camera and radar sensor|Check sensor calibration|Inspect sensor mounting alignment|Verify sensor wiring connections|Reset ADAS module|Recalibrate sensor with diagnostic tool
P0805,Lane departure warning system fault,Check camera calibration,"lane departure not working, ldw fault, lane assist error, lka not working, lane keeping disabled, lane camera fault, lane detection error, lane departure system off, lane assist camera blocked, lka system fault, lane marking detection failure, lane assist warning",Medium,ADAS,Clean windshield camera area|Verify camera calibration|Check for windshield obstructions|Reset lane departure module|Verify lane markings are visible|Recalibrate camera after windshield replacement
P0810,Blind spot monitoring fault,Check BSM sensors,"blind spot not working, bsm fault, side sensor error, blind spot monitor off, bsm sensor dirty, blind spot detection failure, side radar fault, bsm system disabled, rear side sensor error, blind spot warning not showing, bsm sensor blocked, cross traffic alert not working",Medium,ADAS,Clean BSM sensor covers on bumper|Check sensor alignment|Inspect sensor wiring|Reset BSM module|Verify sensor operation in diagnostic mode|Recalibrate BSM sensors
P0815,Adaptive cruise control fault,Check radar sensor and ACC module,"cruise control not working, adaptive cruise fault, acc error, radar cruise disabled, acc sensor blocked, cruise control radar fault, adaptive speed control error, acc not maintaining distance, cruise control sensor fault, acc following distance wrong, acc won't engage, adaptive cruise system failure",Medium,ADAS,Clean radar sensor behind grille|Check radar alignment|Verify ACC control module|Test brake and throttle signals|Reset ACC system|Recalibrate radar sensor
P0820,Parking sensor system fault,Check ultrasonic sensors,"parking sensor not working, park assist fault, rear sensor error, front parking sensor dead, ultrasonic sensor fault, parking sensor beeping constantly, sensor always showing obstacle, parking sensor no sound, park distance control fault, blind sensor parking assistance, parking sensor short circuit, parking aid failure",Low,ADAS,Clean all parking sensors|Inspect sensor connections|Test individual sensors|Check parking sensor control module|Verify sensor wiring|Replace faulty ultrasonic sensor
P0825,Surround view camera fault,Check camera connections and calibration,"360 camera not working, surround view fault, around view monitor error, bird eye camera broken, one camera not showing, surround camera black screen, around view camera fault, surround view display error, top view camera offline, parking camera fault, rearview camera not working, backup camera blank",Low,ADAS,Check camera power supply|Inspect camera connectors|Clean camera lenses|Verify camera module operation|Reset surround view system|Recalibrate cameras after replacement
P0900,12V auxiliary battery low,Charge or replace 12V battery,"12v battery dead, auxiliary battery low, 12v battery warning, car won't start 12v, auxiliary battery fault, 12v system warning, low 12v battery, car won't unlock 12v dead, 12v battery needs replacement, auxiliary power low, starter battery weak, 12v battery drained",Medium,12V System,Test 12V battery voltage (should be >12.4V)|Check DC-DC converter output|Inspect 12V battery connections|Test battery under load|Check for parasitic drain|Replace 12V battery if capacity is low
P0905,12V auxiliary battery charging fault,Check charging system,"12v battery not charging, auxiliary charger fault, 12v system not maintaining charge, dc dc not charging 12v, low voltage battery going flat, 12v keeps dying, auxiliary battery charger error, 12v trickle charge fault, 12v not being maintained, auxiliary power system fault, 12v battery losing charge, 12v constantly low",Medium,12V System,Check DC-DC converter output voltage|Inspect 12V charging circuit|Test for parasitic current drain|Verify DC-DC converter enable signal|Check 12V battery terminal corrosion|Replace DC-DC converter or 12V battery as needed
P0910,12V fuse box fault,Check fuse box and individual fuses,"fuse blown, fuse box error, 12v circuit fault, fuse keeps blowing, accessory not working fuse, fuse box melted, fuse panel fault, short circuit 12v, fuse box overheating, electrical short fuse, 12v accessory fuse tripped, fuse box water damage",Medium,12V System,Identify blown fuse with visual inspection or tester|Check circuit for short that caused fuse failure|Inspect fuse box for heat damage|Replace fuse with correct amperage|Check wire gauge for circuit|Repair short circuit before replacing fuse
P0915,Exterior lighting fault,Check bulbs and wiring,"headlight not working, tail light out, brake light fault, turn signal error, led light fault, exterior light failure, running light out, fog light not working, daytime running light fault, headlamp module error, light circuit fault, exterior lamp failure",Low,12V System,Check affected bulb or LED module|Inspect lighting circuit fuse|Verify wiring to light assembly|Check light control module|Replace bulb or LED driver|Verify light operation after repair
P0920,Wiper motor fault,Check wiper motor and linkage,"wipers not working, wiper motor dead, windshield wiper fault, wiper motor seized, wipers stopped, wiper motor noise, wiper arm bent, wiper linkage broken, front wiper failure, wiper motor not responding, windshield wiper frozen, wiper transmission fault",Low,12V System,Check wiper fuse|Test wiper motor voltage|Inspect wiper linkage|Check wiper switch and stalk|Free frozen wiper mechanism|Replace wiper motor if burned out
P0925,Horn not functioning,Check horn relay and horn unit,"horn not working, horn broken, no horn sound, horn relay fault, horn fuse blown, horn button not working, weak horn sound, horn circuit fault, horn not honking, horn clicking no sound, horn malfunctioning, horn dead",Low,12V System,Check horn fuse|Test horn relay|Apply 12V directly to horn unit|Check horn button switch|Inspect horn wiring|Replace horn unit
P0930,Window motor fault,Check window motor and regulator,"window not going up, window stuck, power window motor dead, window regulator failure, window not working, window motor noise, window won't close, window dropped, window motor burned, power window fault, window switch not working, window glass stuck",Low,12V System,Check window fuse|Test window switch|Apply 12V directly to window motor|Inspect window regulator cables|Lubricate window tracks|Replace window motor or regulator
P0935,Door lock actuator fault,Check door lock motor and wiring,"door won't lock, door lock not working, central locking fault, door actuator dead, power lock failure, door lock motor noise, can't lock door, door latch fault, lock actuator stuck, auto lock not working, door lock clicking, key fob lock not working",Low,12V System,Check door lock fuse|Test lock actuator motor|Inspect actuator connector|Check door lock control module|Lubricate door latch mechanism|Replace door lock actuator
P1E00,Generic hybrid/EV powertrain fault,Run diagnostics and follow detailed code,"generic ev power fault, system error, unknown ev problem, powertrain malfunction indicator, generic ev error code, drivetrain warning light, powertrain check needed, ev system fault generic, drive system error, electric powertrain warning, ev drivetrain fault, generic electric drive error",Medium,Generic,Connect OBD2 diagnostic tool|Read all stored fault codes|Check for pending codes|Research specific codes found|Address most critical faults first|Clear codes and test drive to verify repair
P1E05,Vehicle speed sensor circuit fault,Check VSS and wiring,"speed sensor error, speedometer not working, speed reading wrong, vehicle speed fault, speed sensor circuit, speedometer showing zero, speed signal lost, vss malfunction, incorrect speed display, cruise control speed error, speed sensor signal missing, odometer not counting",Medium,Generic,Check speed sensor connector|Measure sensor output signal|Inspect sensor wiring harness|Verify sensor air gap|Replace vehicle speed sensor|Calibrate speedometer after replacement
P1E10,Key fob battery low,Replace key fob battery,"key fob low battery, smart key battery warning, key battery dead, remote not working, key fob range reduced, can't unlock with key fob, push start not detecting key, key battery replace, fob battery dying, keyless entry weak, smart key not working well, key signal weak",Low,Generic,Open key fob case|Remove old CR2032 battery|Insert new battery correct polarity|Test key fob range|Test lock unlock buttons|Test push button start detection
P1E15,Tire pressure monitoring fault,Check TPMS sensors and tire pressure,"tpms warning, tire pressure low, tire sensor fault, tire pressure sensor error, flat tire warning, tire pressure monitor not working, tpms malfunction, tire sensor battery dead, wrong tire pressure reading, tire pressure light on, tpms sensor missing, tire pressure warning system error",Low,Generic,Check all tire pressures with gauge|Inflate tires to correct pressure|Check for punctures or leaks|Reset TPMS system|Replace TPMS sensor if battery dead|Relearn TPMS sensor positions after rotation
P1E20,Seat occupant sensor fault,Check seat sensor mat,"airbag warning seat sensor, passenger detect error, seat sensor malfunction, occupant sensor fault, seat weight sensor error, passenger airbag disabled, seat sensor not detecting, seat pressure mat fault, airbag passenger fault, seat detection error, passenger present sensor broken, seat occupancy circuit fault",Medium,Generic,Check seat sensor connector under seat|Inspect seat sensor mat for damage|Verify seat sensor circuit|Check for items under seat interfering|Replace seat sensor mat|Reset airbag module after repair
P1E25,Battery SOC sensor fault,Check SOC sensor and BMS,"soc sensor issue, battery state reading error, soc sensor malfunction, state of charge wrong, battery charge level wrong, fuel gauge ev wrong, battery percentage incorrect, soc estimation error, battery level not accurate, charge level display wrong, soc calibration lost, battery gauge stuck",Medium,Generic,Check SOC sensor wiring|Calibrate SOC by full charge and discharge|Verify BMS SOC algorithm|Compare SOC with cell voltage|Reset SOC calibration in BMS|Monitor SOC accuracy over several cycles
P1E30,Onboard diagnostics system fault,Check OBD port and diagnostic module,"obd port not working, diagnostic port fault, can't read codes, obd2 connector fault, diagnostic system error, obd communication failure, check engine light stuck, diagnostic tool not connecting, obd port no power, diagnostic module offline, obd data link error, mil malfunction",Low,Generic,Check OBD2 port fuse|Inspect OBD2 connector pins|Verify power at OBD2 port|Test CAN bus at OBD2 port|Check diagnostic module|Repair OBD2 connector wiring
P1E35,Software update required,Schedule vehicle software update,"software update available, firmware outdated, ota update pending, vehicle needs update, software version old, system update required, car software out of date, ota update failed, firmware update notification, vehicle system update, software patch available, ota download pending",Low,Generic,Connect to WiFi for OTA update|Check vehicle software version|Download update if available|Install update during parked and charging|Verify update installed successfully|Check all systems after update
P1E40,12V accessory power outlet fault,Check power outlet fuse and wiring,"power outlet not working, cigarette lighter dead, 12v socket fault, accessory outlet no power, usb charger not working, center console outlet dead, rear power outlet fault, power socket fuse blown, accessory power supply fault, phone charger socket dead, 12v port not working, power port failure",Low,Generic,Check power outlet fuse|Test voltage at outlet|Inspect outlet wiring|Check outlet socket contacts|Replace outlet assembly|Verify aftermarket devices not causing short
P1E45,Seatbelt reminder system fault,Check seatbelt sensor and buckle,"seatbelt warning stuck, seatbelt sensor not detecting, buckle sensor fault, seatbelt chime constant, seatbelt reminder error, seatbelt light on when buckled, seatbelt sensor malfunction, buckle switch broken, seatbelt warning won't stop, seatbelt detection error, belt buckle sensor circuit, seatbelt reminder always on",Low,Generic,Check seatbelt buckle switch|Inspect buckle connector|Test buckle switch with multimeter|Check for objects in buckle slot|Replace buckle assembly|Reset seatbelt reminder module
P1F00,High voltage cable insulation fault,Inspect HV cables and connectors,"hv cable fault, high voltage wire damage, hv insulation worn, orange cable damage, high voltage cable insulation, hv wiring fault, high voltage harness problem, hv cable overheating, orange cable frayed, high voltage connector loose, hv cable insulation failure, high voltage wiring insulation breach",Critical,Safety,Immediately stop vehicle and turn off|Do NOT touch orange HV cables|Call professional EV technician|Measure insulation resistance|Inspect all HV cable routing|Repair or replace damaged HV cables with proper PPE
P1F05,HV battery enclosure breach,Inspect battery enclosure integrity,"battery case damaged, battery enclosure crack, battery housing breach, underbody battery damage, battery shell punctured, battery case integrity fault, road debris battery damage, battery tray bent, battery enclosure seal broken, battery case water ingress, battery housing compromised, undercar battery hit",Critical,Safety,Stop driving immediately|Inspect underside for damage|Check for coolant or electrolyte leaks|Check for unusual odors|Have battery inspected professionally|Do NOT attempt to open battery enclosure
P1F10,Airbag system fault,Check airbag module and sensors,"airbag warning light, airbag fault, srs malfunction, airbag system error, airbag sensor fault, airbag module failure, supplemental restraint fault, crash sensor error, airbag not ready, srs warning indicator, airbag control unit fault, airbag circuit malfunction",Critical,Safety,Read airbag fault codes with diagnostic tool|Check clock spring in steering column|Inspect crash sensors|Verify airbag module power and ground|Check seat belt pretensioner circuits|Have airbag system serviced by certified technician
P1F15,Emergency disconnect fault,Check manual service disconnect,"manual disconnect fault, service disconnect error, emergency shutoff not working, manual disconnect switch, hv disconnect handle fault, service plug missing, emergency power cutoff error, battery disconnect fault, manual shutoff handle, service disconnect interlock, emergency power disconnect, hv service switch fault",High,Safety,Locate manual service disconnect|Verify disconnect handle is fully seated|Check interlock circuit|Test disconnect operation|Inspect disconnect contacts|Replace service disconnect if damaged
P1F20,Pedestrian alert system fault,Check AVAS speaker and module,"pedestrian warning not working, avas fault, low speed sound not playing, pedestrian alert off, vehicle approach warning fault, avas speaker dead, no sound at low speed, pedestrian sound system error, avas module fault, ev too quiet warning, exterior sound emitter fault, approach sound not working",Medium,Safety,Check AVAS speaker for damage|Inspect speaker wiring|Verify AVAS control module|Test speaker with diagnostic tool|Check vehicle speed signal to AVAS|Replace AVAS speaker or module
P1F25,Crash data recorder fault,Check EDR module,"event data recorder error, edr fault, crash recorder not working, black box fault, accident data recorder error, edr module failure, crash log system error, vehicle data recorder fault, edr storage full, crash recorder module offline, edr communication error, accident recorder malfunction",Low,Safety,Check EDR module connector|Verify EDR power supply|Read EDR status with diagnostic tool|Check EDR storage capacity|Update EDR firmware|Replace EDR module if faulty
P0G00,Gearbox or reduction gear fault,Check gear mechanism and lubricant,"gearbox noise, gear grinding, reduction gear fault, gear whine, transmission noise, gear oil leak, gearbox vibration, gear wear, reduction ratio error, gear mesh problem, gearbox bearing noise, gear clunk",High,Drivetrain,Check gearbox oil level and condition|Listen for bearing noise|Inspect for oil leaks|Check gear mesh pattern|Verify gear ratio in diagnostic tool|Replace gearbox if internal damage confirmed
P0G05,Differential fault,Inspect differential assembly,"differential noise, diff clunk, differential binding, wheel speed difference, differential oil leak, diff whine, limited slip fault, differential vibration, diff lock error, open differential problem, differential bearing worn, diff housing crack",High,Drivetrain,Check differential oil level|Inspect differential for leaks|Listen for differential noise|Check wheel speed sensor readings|Test limited slip operation|Replace differential if bearings or gears are worn
P0G10,Half shaft or CV joint fault,Inspect CV joints and boots,"cv joint clicking, half shaft vibration, cv boot torn, drive shaft noise, cv joint worn, clicking when turning, axle vibration, cv joint boot leak, drive axle fault, cv joint grease leaking, half shaft bearing worn, cv joint popping sound",Medium,Drivetrain,Inspect CV boot for tears or leaks|Check CV joint for play|Listen for clicking during turns|Check half shaft runout|Grease CV joint if boot replaced early|Replace half shaft assembly
P0G15,Wheel bearing fault,Replace wheel bearing,"wheel bearing noise, humming wheel, wheel bearing worn, wheel rumbling sound, wheel vibration bearing, bearing howl, wheel bearing play, wheel bearing grinding, tire roar bearing, axle bearing worn, hub bearing fault, wheel bearing loose",Medium,Drivetrain,Lift wheel and check for bearing play|Listen for bearing noise while spinning|Check for heat at hub after driving|Replace wheel bearing assembly|Torque axle nut to specification|Verify ABS sensor after bearing replacement
P0G20,Motor mount or drivetrain mount fault,Check and replace motor mounts,"motor mount broken, drivetrain vibration, mount rubber torn, motor shifting, excessive drivetrain movement, mount bolt loose, motor mount worn, motor thunking sound, drivetrain clunk on acceleration, mount isolator worn, motor rocking in bay, engine mount fault",Medium,Drivetrain,Inspect motor mount rubber bushings|Check mount bolt torque|Look for cracked mount brackets|Verify motor alignment|Replace worn motor mounts|Torque new mount bolts to specification
P0H00,Suspension control fault,Check air suspension or active damper,"suspension warning, air suspension fault, ride height error, active damper fault, suspension too low, suspension too high, ride comfort poor, suspension clunking, adaptive suspension error, air spring leak, suspension control module fault, ride height sensor error",Medium,Suspension,Check suspension warning messages|Inspect air springs for leaks|Verify ride height sensors|Test active damper operation|Check suspension control module|Reset suspension adaptation values
P0H05,Air suspension compressor fault,Check compressor motor and relay,"air suspension compressor not working, compressor runs constantly, air suspension dropping, compressor noisy, air pump fault, suspension pump burned, compressor relay fault, air suspension won't raise, compressor overheating, air suspension pump dead, compressor motor failure, air spring not inflating",Medium,Suspension,Check compressor relay and fuse|Listen for compressor motor operation|Check air lines for leaks|Inspect compressor for overheating|Replace compressor dryer|Replace compressor motor if faulty
P0H10,Shock absorber or damper fault,Inspect dampers and replace,"damper leaking, shock absorber worn, bouncy ride, damper fluid leak, shock absorber noise, damper valve failure, ride too soft, ride too firm, adaptive damper error, electronic damper fault, leaking shock, damper performance degraded",Medium,Suspension,Visual inspection for damper fluid leaks|Bounce test each corner|Check electronic damper control signals|Measure damper resistance|Replace leaking or worn dampers|Realign suspension after damper replacement
P0H15,Ride height sensor fault,Check sensor and adjust ride height,"ride height wrong, sensor reading error, suspension height sensor, car sitting low one side, car leaning, height sensor fault, suspension level sensor, ride height not adjusting, one corner low, suspension levelness error, ride height calibration, car height uneven",Low,Suspension,Check ride height sensor connector|Inspect sensor linkage|Measure actual ride height vs sensor reading|Calibrate ride height sensor|Replace sensor if readings are incorrect|Perform four corner height adjustment
